SCAN Output\bearings.mds                                                                                 
file_id:  15May 5 8L5 LWPM 2.1 c:\lwpcv21\output\bearings.mds
          ***
          ***
prgm_id:  LWPM 2.1
case_id:  OMEGA coverage of the Mediterranean
prfl_id:  LWPM Date: 04/15/84:2200                
xmtr_id                tlat    tlon   freq
omega-d                46.4    98.3   10.2
path_id                lat1    lon1   lat2    lon2
Bearings                0.0     0.0    0.0     0.0
bearng   rlat    rlon    rrho
  24.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  5   20.4   -30.1  10960.  145.6   25.3  0.371  1.E-03  15.  0.30  87.0   13.
  5   20.0   -30.3  11000.  145.7   24.6  0.370  1.E-03  15.  0.30  87.0   13.
      99.0
bearng   rlat    rlon    rrho
  72.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   64.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   46.8    96.3    160.   67.2   74.5  0.568  1.E-03  15.  0.30  74.0    7.
  4   47.3    93.8    360.   71.5   75.1  0.570  3.E-03  15.  0.30  74.0    7.
  4   47.8    90.4    620.   77.6   75.7  0.571  1.E-02  15.  0.30  74.0    7.
  4   48.4    85.9    960.   86.2   76.2  0.571  1.E-03  15.  0.30  74.0    7.
  4   49.0    74.5   1800.  106.9   75.6  0.560  1.E-04  10.  0.30  74.0    7.
  4   49.0    73.9   1840.  107.8   75.5  0.559  1.E-03  15.  0.30  74.0    7.
  4   49.0    72.3   1960.  110.3   75.2  0.556  1.E-04  10.  0.30  74.0    7.
  4   49.0    71.5   2020.  111.6   75.1  0.555  1.E-03  15.  0.30  74.0    7.
  4   48.9    68.7   2220.  115.3   74.5  0.549  4.E+00  81.  0.30  74.0    7.
  4   48.8    67.9   2280.  116.4   74.3  0.548  1.E-03  15.  0.30  74.0    7.
  4   48.6    64.4   2540.  120.5   73.3  0.540  4.E+00  81.  0.30  74.0    7.
  4   48.0    59.1   2940.  125.5   71.7  0.527  1.E-03  15.  0.30  74.0    7.
  4   47.5    55.7   3200.  128.1   70.5  0.517  4.E+00  81.  0.30  74.0    7.
  4   47.4    55.4   3220.  128.3   70.4  0.517  3.E-04  10.  0.30  74.0    7.
  4   47.3    54.9   3260.  128.6   70.2  0.515  4.E+00  81.  0.30  74.0    7.
  4   47.2    53.9   3340.  129.3   69.8  0.512  3.E-04  10.  0.30  74.0    7.
  4   47.0    52.8   3420.  129.9   69.4  0.509  4.E+00  81.  0.30  74.0    7.
  4   46.3    49.6   3680.  131.6   68.1  0.499  4.E+00  81.  0.30  76.2    8.
  4   45.7    47.1   3880.  132.7   67.1  0.492  4.E+00  81.  0.30  78.3    9.
  4   45.0    44.7   4080.  133.7   66.0  0.484  4.E+00  81.  0.30  80.5   10.
  5   44.4    42.4   4280.  134.5   64.9  0.476  4.E+00  81.  0.30  82.7   11.
  6   43.6    40.1   4480.  135.1   63.7  0.469  4.E+00  81.  0.30  84.8   12.
  6   42.8    37.9   4680.  135.7   62.5  0.461  4.E+00  81.  0.30  87.0   13.
  6   36.1    23.5   6120.  138.3   52.5  0.413  4.E+00  81.  0.30  87.0   13.
  5   30.1    14.4   7200.  139.4   42.5  0.381  4.E+00  81.  0.30  87.0   13.
  5   27.9    11.6   7560.  139.7   38.5  0.372  1.E-02  15.  0.30  87.0   13.
  5   26.5     9.8   7800.  139.9   35.7  0.365  1.E-03  15.  0.30  87.0   13.
  5   24.0     6.9   8200.  140.3   30.7  0.355  1.E-02  15.  0.30  87.0   13.
  5   21.6     4.3   8580.  140.6   25.5  0.347  1.E-02  15.  0.30  87.0   13.
  5   19.3     1.9   8940.  140.9   20.3  0.339  1.E-02  15.  0.30  87.0   13.
  5   17.1    -0.3   9280.  141.2   15.2  0.333  1.E-02  15.  0.30  87.0   13.
  5   15.0    -2.4   9600.  141.5   10.1  0.328  1.E-02  15.  0.30  87.0   13.
  5   12.8    -4.4   9920.  141.8    4.9  0.324  1.E-02  15.  0.30  87.0   13.
  5   11.9    -5.3  10060.  141.9    2.6  0.322  1.E-03  15.  0.30  87.0   13.
  5    9.9    -7.1  10360.  142.2   -2.4  0.320  1.E-03  15.  0.30  87.0   13.
  5    8.4    -8.4  10580.  142.4   -6.2  0.318  3.E-03  15.  0.30  87.0   13.
  5    7.5    -9.3  10720.  142.6   -8.6  0.318  1.E-03  15.  0.30  87.0   13.
  5    5.6   -11.0  11000.  142.8  -13.4  0.317  1.E-03  15.  0.30  87.0   13.
      99.0
SCAN Output\bearings.lwf                                                                                 
file_id:  15May 5 8L5 LWPM 2.1 c:\lwpcv21\output\bearings.mds
          15May 5 8L5 LWPM 2.1 c:\lwpcv21\output\bearings.lwf
          ***
prgm_id:  LWPM 2.1
case_id:  OMEGA coverage of the Mediterranean
prfl_id:  LWPM Date: 04/15/84:2200                
xmtr_id                tlat    tlon   freq
omega-d                46.4    98.3   10.2
path_id                lat1    lon1   lat2    lon2
Bearings                0.0     0.0    0.0     0.0
nc nrpt bearng  rhomx  rlat   rlon   rrho    pwr    dist incl headng talt ralt
 1  551   24.0 11000.  99.0    0.0     0.    10.      0.   0.    0.0  0.0  0.0
 1  551   48.0 11000.  99.0    0.0     0.    10.      0.   0.    0.0  0.0  0.0
 1  551   72.0 11000.  99.0    0.0     0.    10.      0.   0.    0.0  0.0  0.0
SCAN Output\lwflds.lwf                                                                                   
file_id:  15May 5 8L5 LWPM 2.1 c:\lwpcv21\output\bearings.mds
          15May 5 DXR LWPM 2.1 c:\lwpcv21\output\bearings.lwf
          ***
prgm_id:  LWPM 2.1
case_id:  OMEGA coverage of the Mediterranean
prfl_id:  LWPM Date: 04/15/84:2200                
xmtr_id                tlat    tlon   freq
omega-d                46.4    98.3   10.2
path_id                lat1    lon1   lat2    lon2
Bearings                0.0     0.0    0.0     0.0
nc nrpt bearng  rhomx  rlat   rlon   rrho    pwr    dist incl headng talt ralt
 2  251   24.0 11000.  99.0    0.0     0.    10.      0.   0.    0.0  0.0  9.0
 2  251   48.0 11000.  99.0    0.0     0.    10.      0.   0.    0.0  0.0  9.0
 2  251   72.0 11000.  99.0    0.0     0.    10.      0.   0.    0.0  0.0  9.0
SCAN Output\lwpm.mds                                                                                     
file_id:  15May 5 GIW LWPM 2.1 c:\lwpcv21\output\lwpm.mds
          ***
          ***
prgm_id:  LWPM 2.1
case_id:  OMEGA coverage of the Mediterranean
prfl_id:  LWPM Day                                
xmtr_id                tlat    tlon   freq
omega-d                46.4    98.3   10.2
path_id                lat1    lon1   lat2    lon2
mediterranean          30.0    10.0   45.0   -45.0
bearng   rlat    rlon    rrho
  24.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   16.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   49.8    96.0    420.   20.0   76.7  0.576  1.E-03  15.  0.30  74.0    7.
  4   54.6    91.9   1020.   29.4   80.3  0.584  3.E-04  10.  0.30  74.0    7.
  4   55.5    91.0   1140.   32.0   80.9  0.584  3.E-03  15.  0.30  74.0    7.
  4   57.1    89.3   1340.   37.1   81.8  0.584  4.E+00  81.  0.30  74.0    7.
  4   64.8    77.7   2400.   78.8   84.3  0.569  3.E-04  10.  0.30  74.0    7.
  4   65.6    76.0   2520.   83.9   84.3  0.567  4.E+00  81.  0.30  74.0    7.
  4   66.9    72.9   2720.   91.7   84.2  0.562  3.E-04  10.  0.30  74.0    7.
  4   67.0    72.5   2740.   92.4   84.2  0.561  4.E+00  81.  0.30  74.0    7.
  4   67.2    72.2   2760.   93.1   84.2  0.561  3.E-04  10.  0.30  74.0    7.
  4   68.1    69.4   2920.   98.4   84.0  0.557  1.E-05   5.  0.30  74.0    7.
  4   68.6    67.9   3000.  100.8   83.8  0.555  4.E+00  81.  0.30  74.0    7.
  4   71.5    55.2   3580.  112.9   82.8  0.540  1.E-04  10.  0.30  74.0    7.
  4   71.8    53.6   3640.  113.8   82.7  0.538  4.E+00  81.  0.30  74.0    7.
  4   71.9    52.6   3680.  114.3   82.6  0.537  1.E-04  10.  0.30  74.0    7.
  4   72.1    51.6   3720.  114.9   82.5  0.536  1.E-05   5.  0.30  74.0    7.
  4   73.7    23.7   4640.  122.1   80.7  0.518  1.E-04  10.  0.30  74.0    7.
  4   73.6    20.5   4740.  122.6   80.5  0.516  4.E+00  81.  0.30  74.0    7.
  4   68.7   -15.1   6100.  129.1   77.4  0.504  3.E-03  15.  0.30  74.0    7.
  4   67.2   -19.8   6360.  130.7   76.7  0.503  1.E-03  15.  0.30  74.0    7.
  4   65.9   -23.0   6560.  131.9   76.1  0.502  4.E+00  81.  0.30  74.0    7.
  4   65.0   -25.0   6700.  132.8   75.7  0.502  1.E-03  15.  0.30  74.0    7.
  4   64.4   -26.1   6780.  133.4   75.5  0.502  3.E-03  15.  0.30  74.0    7.
  4   63.0   -28.7   6980.  134.8   74.8  0.501  1.E-02  15.  0.30  74.0    7.
  4   62.2   -30.1   7100.  135.6   74.4  0.501  3.E-03  15.  0.30  74.0    7.
  4   61.5   -31.3   7200.  136.4   74.1  0.500  1.E-02  15.  0.30  74.0    7.
  4   60.4   -32.8   7340.  137.4   73.6  0.500  3.E-03  15.  0.30  74.0    7.
  4   59.4   -34.2   7480.  138.4   73.0  0.499  3.E-02  15.  0.30  74.0    7.
  4   57.9   -36.0   7680.  139.9   72.2  0.498  1.E-02  15.  0.30  74.0    7.
  4   54.9   -39.2   8060.  142.7   70.5  0.496  3.E-02  15.  0.30  74.0    7.
  4   54.0   -40.1   8180.  143.6   70.0  0.495  1.E-02  15.  0.30  74.0    7.
  4   44.9   -46.9   9300.  150.9   63.2  0.481  4.E+00  81.  0.30  74.0    7.
  4   44.4   -47.2   9360.  151.2   62.7  0.480  1.E-02  15.  0.30  74.0    7.
  4   43.8   -47.5   9440.  151.7   62.1  0.479  4.E+00  81.  0.30  74.0    7.
  4   41.4   -48.9   9720.  153.2   59.9  0.473  1.E-02  15.  0.30  74.0    7.
  4   41.1   -49.0   9760.  153.4   59.6  0.472  4.E+00  81.  0.30  74.0    7.
  4   40.9   -49.1   9780.  153.5   59.4  0.472  1.E-02  15.  0.30  74.0    7.
  4   40.1   -49.6   9880.  154.0   58.5  0.469  4.E+00  81.  0.30  74.0    7.
  4   36.9   -51.1  10260.  155.7   55.0  0.460  3.E-03  15.  0.30  74.0    7.
  4   34.9   -52.0  10500.  156.8   52.5  0.453  3.E-03  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  30.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   22.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   49.1    95.9    360.   26.2   76.3  0.575  1.E-03  15.  0.30  74.0    7.
  4   54.1    90.5   1020.   38.2   80.0  0.583  3.E-04  10.  0.30  74.0    7.
  4   55.4    88.8   1200.   42.8   80.8  0.583  3.E-03  15.  0.30  74.0    7.
  4   56.4    87.5   1340.   46.9   81.4  0.583  4.E+00  81.  0.30  74.0    7.
  4   61.7    78.0   2140.   76.7   83.1  0.573  1.E-04  10.  0.30  74.0    7.
  4   62.5    76.0   2280.   82.2   83.2  0.570  4.E+00  81.  0.30  74.0    7.
  4   63.9    72.3   2520.   91.0   83.1  0.565  3.E-04  10.  0.30  74.0    7.
  4   65.5    67.2   2820.  100.4   82.7  0.557  4.E+00  81.  0.30  74.0    7.
  4   66.0    65.4   2920.  103.0   82.5  0.554  1.E-05   5.  0.30  74.0    7.
  4   66.9    61.5   3120.  107.6   82.2  0.549  4.E+00  81.  0.30  74.0    7.
  4   68.4    52.8   3520.  114.4   81.4  0.538  1.E-04  10.  0.30  74.0    7.
  4   68.5    51.9   3560.  115.0   81.3  0.537  4.E+00  81.  0.30  74.0    7.
  4   68.6    51.0   3600.  115.5   81.2  0.536  1.E-04  10.  0.30  74.0    7.
  4   68.8    49.6   3660.  116.2   81.1  0.535  1.E-05   5.  0.30  74.0    7.
  4   69.6    22.6   4720.  124.1   78.7  0.511  4.E+00  81.  0.30  74.0    7.
  4   64.0   -10.2   6260.  130.6   74.9  0.493  3.E-03  15.  0.30  74.0    7.
  4   62.5   -14.1   6520.  131.9   74.1  0.491  1.E-03  15.  0.30  74.0    7.
  4   62.1   -15.0   6580.  132.2   73.9  0.491  3.E-03  15.  0.30  74.0    7.
  4   62.0   -15.3   6600.  132.3   73.9  0.491  1.E-03  15.  0.30  74.0    7.
  4   61.1   -17.2   6740.  133.1   73.4  0.490  4.E+00  81.  0.30  74.0    7.
  4   61.0   -17.5   6760.  133.2   73.3  0.490  1.E-03  15.  0.30  74.0    7.
  4   60.9   -17.7   6780.  133.3   73.3  0.489  4.E+00  81.  0.30  74.0    7.
  4   58.5   -22.1   7140.  135.3   72.0  0.487  3.E-03  15.  0.30  74.0    7.
  4   58.2   -22.6   7180.  135.5   71.9  0.487  4.E+00  81.  0.30  74.0    7.
  4   57.0   -24.5   7360.  136.6   71.2  0.486  3.E-03  15.  0.30  74.0    7.
  4   53.4   -29.3   7860.  139.5   69.0  0.482  1.E-02  15.  0.30  74.0    7.
  4   47.8   -35.0   8600.  143.9   65.1  0.475  1.E-03  15.  0.30  74.0    7.
  4   47.4   -35.5   8660.  144.3   64.7  0.474  1.E-02  15.  0.30  74.0    7.
  4   46.6   -36.1   8760.  144.8   64.1  0.473  4.E+00  81.  0.30  74.0    7.
  4   45.5   -37.0   8900.  145.6   63.2  0.471  1.E-02  15.  0.30  74.0    7.
  4   44.4   -37.9   9040.  146.3   62.2  0.469  4.E+00  81.  0.30  74.0    7.
  4   40.9   -40.4   9480.  148.6   58.9  0.461  3.E-03  15.  0.30  74.0    7.
  4   38.0   -42.3   9840.  150.2   55.8  0.454  1.E-02  15.  0.30  74.0    7.
  4   28.5   -47.5  11000.  154.6   43.0  0.422  1.E-02  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  33.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   25.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   48.3    96.4    260.   28.1   75.6  0.572  1.E-03  15.  0.30  74.0    7.
  4   48.6    96.1    300.   28.7   75.8  0.573  1.E-02  15.  0.30  74.0    7.
  4   48.8    96.0    320.   29.0   76.0  0.574  1.E-03  15.  0.30  74.0    7.
  4   54.1    89.5   1060.   43.4   80.0  0.582  3.E-04  10.  0.30  74.0    7.
  4   54.8    88.5   1160.   46.1   80.4  0.583  3.E-03  15.  0.30  74.0    7.
  4   56.1    86.4   1360.   52.1   81.2  0.582  4.E+00  81.  0.30  74.0    7.
  4   60.6    77.5   2080.   78.5   82.6  0.573  1.E-04  10.  0.30  74.0    7.
  4   62.4    72.7   2400.   90.1   82.5  0.566  4.E+00  81.  0.30  74.0    7.
  4   63.1    70.5   2540.   94.6   82.4  0.563  3.E-04  10.  0.30  74.0    7.
  4   64.5    65.2   2840.  103.0   82.0  0.555  4.E+00  81.  0.30  74.0    7.
  4   66.7    53.3   3440.  114.5   80.8  0.539  1.E-04  10.  0.30  74.0    7.
  4   67.1    49.7   3600.  116.5   80.4  0.535  1.E-05   5.  0.30  74.0    7.
  4   67.9    31.9   4360.  122.9   78.7  0.516  4.E+00  81.  0.30  74.0    7.
  4   62.4    -5.6   6180.  130.6   74.0  0.489  1.E-03  15.  0.30  74.0    7.
  4   61.4    -8.3   6360.  131.3   73.5  0.487  3.E-03  15.  0.30  74.0    7.
  4   59.5   -13.1   6700.  132.9   72.4  0.485  1.E-02  15.  0.30  74.0    7.
  4   59.0   -14.1   6780.  133.3   72.1  0.484  1.E-03  15.  0.30  74.0    7.
  4   58.7   -14.6   6820.  133.4   71.9  0.484  1.E-02  15.  0.30  74.0    7.
  4   58.5   -15.1   6860.  133.6   71.8  0.483  1.E-03  15.  0.30  74.0    7.
  4   57.7   -16.6   6980.  134.2   71.4  0.482  4.E+00  81.  0.30  74.0    7.
  4   54.9   -21.2   7400.  136.4   69.7  0.479  1.E-02  15.  0.30  74.0    7.
  4   50.4   -27.1   8040.  139.8   66.7  0.474  1.E-03  15.  0.30  74.0    7.
  4   50.0   -27.6   8100.  140.2   66.4  0.473  1.E-02  15.  0.30  74.0    7.
  4   49.6   -28.1   8160.  140.5   66.1  0.472  1.E-03  15.  0.30  74.0    7.
  4   49.4   -28.2   8180.  140.6   66.0  0.472  1.E-02  15.  0.30  74.0    7.
  4   46.4   -31.3   8580.  142.7   63.7  0.468  4.E+00  81.  0.30  74.0    7.
  4   42.0   -35.1   9160.  145.6   59.7  0.459  3.E-03  15.  0.30  74.0    7.
  4   37.4   -38.4   9740.  148.2   54.8  0.447  1.E-02  15.  0.30  74.0    7.
  4   27.3   -44.4  11000.  152.7   40.7  0.413  1.E-02  15.  0.30  74.0    7.
      99.0
bearng   rlat    rlon    rrho
  36.0   99.0     0.0      0.
mds    lat     lon    rho    azim    dip bfield   sigma epsr  beta   hpr  ndx
  4   46.4    98.3      0.   28.0   73.9  0.565  1.E-02  15.  0.30  74.0    7.
  4   48.1    96.4    240.   31.1   75.4  0.572  1.E-03  15.  0.30  74.0    7.
  4   49.4    94.9    420.   33.9   76.5  0.575  1.E-02  15.  0.30  74.0    7.
  4   49.5    94.8    440.   34.2   76.6  0.576  1.E-03  15.  0.30  74.0    7.
  4   54.0    88.4   1100.   48.7   79.9  0.582  3.E-04  10.  0.30  74.0    7.
